Date,Open,High,Low,Closed Price, Volume,Buy Sell,Vn-index,Dowjones,Private trade volume
2/1/2010,95000,95000,93500,95000,36180,22680,486.95,10099.13965,0
2/2/2010,95000,98000,94500,96500,30660,-10100,487.93,10268.80957,0
2/3/2010,96500,99000,94500,98000,96530,39880,495.48,10309.24023,0
2/4/2010,98000,101000,97000,99500,163390,-18220,503.83,10392.90039,0
2/5/2010,99500,99000,95000,96000,139900,-136620,493.04,10402.34961,0
2/8/2010,96000,97000,93000,96000,94980,-119180,491.2,10383.37988,0
2/9/2010,96000,95000,93000,95000,103160,-76100,482.89,10282.41016,0
2/10/2010,95000,96000,93500,96000,74660,4370,490.91,10374.16016,0
2/11/2010,96000,97000,96000,,45850,6580,499.94,10321.03027,0
2/12/2010,97000,98500,97000,98000,89470,-69810,507,10325.25977,0
2/22/2010,98000,99000,96500,99000,71740,-85750,510.02,10403.79004,0
2/23/2010,99000,99000,94500,97500,84430,4460,496.29,10405.98047,0
2/24/2010,97500,97500,93500,94500,175340,-44910,494.59,10396.75977,0
2/25/2010,94500,98000,93000,93000,249890,3490,494.99,10444.13965,0
2/26/2010,93000,92000,89000,89500,337300,-34790,496.91,10566.2002,0
3/1/2010,89500,93000,89500,90000,155190,18590,503.01,10552.51953,0
3/2/2010,90000,90000,88500,89000,128120,12640,501,10564.37988,0
3/3/2010,89000,91500,89000,89000,119700,-71010,507.32,10567.33008,0
3/4/2010,89000,91500,90000,91000,65980,-12900,511.91,10611.83984,0
3/5/2010,91000,91000,89000,90000,108370,26530,513.39,10624.69043,0
3/8/2010,90000,92000,89500,90000,95640,13360,521.12,10642.15039,0
3/9/2010,90000,90500,89500,90500,105060,61150,527.27,10685.98047,0
3/10/2010,90500,91000,90000,90000,90660,-54050,525.67,10733.66992,0
3/11/2010,90000,90000,89000,89000,95590,35030,524.64,10779.16992,0
3/12/2010,89000,92000,90000,91000,101600,72890,531.51,10741.98047,0
3/15/2010,91000,92500,91000,92000,113160,74120,531.86,10785.88965,0
3/16/2010,92000,92500,90000,90000,98240,-48740,516.08,10888.83008,0
3/17/2010,90000,90000,89000,89000,102440,-25150,510.85,10836.15039,0
3/18/2010,89000,90000,88000,89000,120250,-11050,519.73,10841.20996,0
3/19/2010,89000,89000,87500,88000,163290,7150,515.99,10850.36035,0
3/22/2010,88000,89500,87000,88000,52690,5170,511.58,10895.86035,0
3/23/2010,88000,89000,87000,88500,57060,2690,506.53,10907.41992,0
3/24/2010,88500,89500,88000,89000,58040,2600,512.12,10856.62988,0
3/25/2010,89000,90000,87000,89000,97320,-4840,503.39,10927.07031,200000
3/26/2010,89000,90000,88500,89500,130170,-98030,505.3,10973.54981,0
3/29/2010,89500,90500,89500,90000,98450,-30330,505.67,10969.99023,0
3/30/2010,90000,91000,89500,90500,68720,-51750,500.72,10897.51953,0
